Batch	Flowcell	Group	sample.name 	 tumor.status	stat.Total_Reads 	stat.Mapped_Reads 	stat.Mapped_Reads_pct	stat.Mapped_Reads_Junction	stat.Mapped_Reads_Junction_pct	stat.Gene_Count 	stat.Gene_Count_pct	stat.SNVs 	stat.Indels 	stat.Fusions
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_3	tumor 	36943714	34989257	95	21363332	58	27309509	74	20689	36573	2
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_4	tumor 	43552610	38901936	89	17143246	39	29675544	68	74652	45198	1
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_5	tumor 	58544885	49953007	85	24409699	42	37467996	64	52213	43957	0
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_6	tumor 	39114699	34697190	89	16741787	43	26487968	68	40450	29556	3
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_7	tumor 	61722651	59303164	96	40917958	66	48639729	79	27276	31092	4
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_8	tumor 	46851410	45050735	96	27432048	59	37183951	79	40532	35340	1
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_9	tumor 	41426912	40038668	97	24089468	58	34172965	82	34423	25064	5
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_16	normal	58950885	52398815	89	29322513	50	38727603	74	23342	23464	5
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_17	normal	33225373	30705079	92	18687523	56	23945734	78	21216	18742	7
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_18	normal	64260628	58792504	91	32711143	51	41670870	71	24496	19522	7
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_19	normal	48850289	43699550	89	22685205	46	31182255	71	29628	30936	0
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_20	normal	54247669	49685437	92	31433963	58	39023882	79	26602	22580	5
6	190422_ST-K00112_0136_AH5CHYBBXY 	MSS	MSS_18	normal	42818686	38326667	90	22062173	52	28095308	73	20760	15262	5
6	190422_ST-K00112_0136_AH5CHYBBXY 	MSS	MSS_19	normal	37000053	33863484	92	17071274	46	24260507	72	32027	25543	3
6	190422_ST-K00112_0136_AH5CHYBBXY 	MSS	MSS__20	normal	41908437	37647491	90	21390449	51	26782256	71	17933	10182	6
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_16	tumor	63360267	58095753	92	37939493	60	46952945	81	30294	29683	2
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_17	tumor	30342568	28481138	94	16690381	55	21263560	75	18504	15487	1
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_18	tumor	58764054	55103774	94	35091962	60	44754386	81	30552	22172	10
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_19	tumor	25440473	23249554	91	9591507	38	15024315	65	28044	25750	0
6	190422_ST-K00112_0136_AH5CHYBBXY 	MLH1HM	MSI_MLH1HM_20	tumor	60514399	53626060	89	33047772	55	41523200	77	29638	23492	2
6	190422_ST-K00112_0136_AH5CHYBBXY 	MSS	MSS_18	tumor	66652026	62720442	94	40335265	61	48124430	77	23771	15192	5
6	190422_ST-K00112_0136_AH5CHYBBXY 	MSS	MSS_19	tumor	37126956	35323018	95	15755599	42	23961908	68	31033	23195	1
6	190422_ST-K00112_0136_AH5CHYBBXY 	MSS	MSS_20	tumor	37435466	34678549	93	21149087	56	24861857	72	15900	8560	1
