"","percent.FFPE","signature","sens","spec","acc"
"135","50%","SBS19",0.71257758068585,0.700126247253258,NA
"136","50%","SBS2",0.990117989298761,0.708619431283279,NA
"137","50%","SBS20",0.785478282972887,0.923702885549367,NA
"138","50%","SBS21",0.942700927917311,0.962941134792774,NA
"139","50%","SBS22",0.976399912000961,0.986133904029946,NA
"140","50%","SBS23",0.745301980209139,0.658619415211415,NA
"141","50%","SBS24",0.857197256410589,0.955845167862269,NA
"142","50%","SBS25",0.8273477570508,0.981064625774491,NA
"143","50%","SBS26",0.945504246492623,0.990739378332927,NA
"144","50%","SBS28",0.970883334586765,0.989359267914262,NA
"145","50%","SBS29",0.898948816223271,0.975758441202129,NA
"146","50%","SBS3",0.842728026390683,0.965327164748722,NA
"147","50%","SBS30",0.622519917513125,0.589624126647852,NA
"148","50%","SBS31",0.845573305300333,0.826892102221675,NA
"149","50%","SBS32",0.678168520567977,0.70633255922645,NA
"150","50%","SBS33",0.916089280099036,0.991888005865656,NA
"151","50%","SBS34",0.964926514070239,0.98337057446572,NA
"152","50%","SBS35",0.893037618942412,0.917298740762367,NA
"153","50%","SBS36",0.918508831097428,0.987818976491256,NA
"154","50%","SBS37",0.939060055309083,0.985948901965986,NA
"155","50%","SBS38",0.943073088392441,0.989128587122919,NA
"156","50%","SBS39",0.892226453868797,0.989251506374253,NA
"157","50%","SBS4",0.917184329542274,0.96617368969951,NA
"158","50%","SBS40",0.7971153327838,0.97049373831935,NA
"159","50%","SBS41",0.894143108849614,0.981495379930458,NA
"160","50%","SBS42",0.768225738985307,0.833313318708436,NA
"161","50%","SBS44",0.873804391973798,0.737193695340629,NA
"162","50%","SBS5",0.700860742981183,0.985457103050707,NA
"163","50%","SBS6",0.84103771436489,0.719820163737178,NA
"164","50%","SBS7a",0.81226620850241,0.685260087884602,NA
"165","50%","SBS7b",0.875800735666928,0.581008921180204,NA
"166","50%","SBS7c",0.922433661650235,0.983223761563504,NA
"167","50%","SBS7d",0.857762059770577,0.959970621798387,NA
